"","CNTRYID","CNT","CNTSCHID","CNTSTUID","CYC","NatCen","STRATUM","SUBNATIO","OECD","BOOKID","ST001D01T","ST003D02T","ST003D03T","ST004D01T","ST005Q01TA","ST007Q01TA","ST011Q04TA","ST154Q01HA","IC001Q01TA","IC001Q02TA","IC001Q03TA","IC001Q04TA","IC001Q05TA","IC001Q07TA","IC009Q01TA","IC009Q02TA","IC009Q03TA","IC009Q05NA","IC009Q06NA","IC002Q01HA","IC004Q01HA","ST013Q01TA","MISCED","FISCED","HISCED","PARED","MISCED_D","FISCED_D","HISCED_D","PAREDINT","HISEI","MMINS","LMINS","SMINS","TMINS","STUBMI","ESCS","ICTHOME","ICTSCH","HEDRES","WEALTH","ICTRES","EMOSUPS","STIMREAD","ADAPTIVITY","BODYIMA","SOCONPA","PVMATH","PVREAD","PVSCIE","W_FSTUWT"
"380",484,"MEX",48400015,48403248,"07MS","048400","MEX0007","4840000",1,29,10,6,2002,1,1,1,1,2,3,1,1,1,1,1,2,2,3,3,1,3,4,1,6,4,6,16,6,4,6,16,64.44,250,200,0,NA,18.61,0.1301,8,6,-1.2049,-0.6117,-0.2532,1.0346,1.4931,2.0073,-0.5368,-0.124,374.4515,409.1777,347.4689,142.51067
"381",484,"MEX",48400015,48403609,"07MS","048400","MEX0007","4840000",1,13,10,8,2002,1,1,3,2,2,3,3,1,2,1,1,3,3,1,3,2,4,4,1,4,2,4,12,4,2,4,12,30.34,NA,NA,NA,NA,25.14,-1.7971,7,5,-1.3835,-2.5141,-2.1286,NA,0.5135,0.8329,-1.6672,0.9078,355.2573,370.7171,393.897,142.51067
"382",484,"MEX",48400015,48403774,"07MS","048400","MEX0007","4840000",1,11,10,5,2002,2,3,1,2,2,3,3,3,3,3,1,3,3,3,3,3,4,5,1,2,4,4,12,2,4,4,12,51.5,150,400,0,NA,NA,-1.6874,3,1,-1.6618,-3.1118,-3.768,1.0346,-1.037,-0.5786,-0.3417,-0.7192,295.9828,283.1076,348.1479,133.08226
"383",484,"MEX",48400015,48403805,"07MS","048400","MEX0007","4840000",1,23,10,12,2002,1,1,1,2,3,3,1,1,1,3,1,3,1,1,1,1,4,4,1,4,4,4,12,4,4,4,12,16.5,240,160,0,560,NA,-1.896,5,7,-1.935,-1.5661,-1.7005,1.0346,0.9614,0.8329,-0.8389,-1.8728,305.2062,285.2874,323.5298,142.51067
"384",484,"MEX",48400015,48404281,"07MS","048400","MEX0007","4840000",1,36,10,2,2002,1,1,4,2,2,3,3,3,3,NA,1,3,3,3,3,3,4,4,1,4,1,4,12,4,1,4,12,50.15,180,180,45,540,NA,-1.5471,3,1,-1.6618,-2.7692,-2.5634,1.0346,0.5102,0.4572,1.1934,-0.0974,308.9518,401.2219,344.0957,142.51067
"385",484,"MEX",48400015,48404414,"07MS","048400","MEX0007","4840000",1,1,10,8,2002,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,452.8005,488.3881,467.3072,133.08226
"386",484,"MEX",48400015,48404509,"07MS","048400","MEX0007","4840000",1,11,10,3,2002,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,363.3447,399.6703,421.0361,142.51067
"387",484,"MEX",48400015,48405176,"07MS","048400","MEX0007","4840000",1,14,10,11,2002,1,1,1,1,4,1,1,1,1,1,1,NA,1,1,1,1,2,3,1,5,5,5,14,5,5,5,14.5,44.14,360,240,0,1860,21.91,-0.4958,10,6,-0.6853,-0.5593,-0.5963,-2.4468,-0.62,-0.5786,1.8425,0.9078,440.1385,457.01,421.0309,142.51067
"388",484,"MEX",48400015,48405193,"07MS","048400","MEX0007","4840000",1,2,10,2,2002,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,431.3407,428.1552,440.8643,142.51067
"389",484,"MEX",48400015,48405584,"07MS","048400","MEX0007","4840000",1,16,10,4,2002,1,3,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,2,9,2,0,2,9,17,NA,NA,NA,NA,NA,-2.1615,NA,NA,-1.2049,-1.5585,-1.2176,0.6402,0.2464,0.1067,NA,NA,431.4259,498.3344,439.6471,142.51067
"390",484,"MEX",48400015,48405760,"07MS","048400","MEX0007","4840000",1,10,10,9,2002,1,1,1,1,2,1,3,3,3,3,1,2,3,3,2,2,4,3,1,5,4,5,14,5,4,5,14.5,23.53,300,300,0,1320,20.28,-1.3064,4,7,-0.9302,-2.1851,-1.8064,1.0346,1.1884,0.4572,1.8425,0.9078,420.0893,439.1813,473.088,142.51067
