CNTRYID,CNT,CNTSCHID,CNTSTUID,CYC,NatCen,STRATUM,SUBNATIO,OECD,ST013Q01TA,MISCED,FISCED,HISCED,PARED,MISCED_D,FISCED_D,HISCED_D,PAREDINT,HISEI,MMINS,LMINS,SMINS,TMINS,STUBMI,ESCS,ICTHOME,ICTSCH,HEDRES,WEALTH,ICTRES,EMOSUPS,STIMREAD,ADAPTIVITY,BODYIMA,SOCONPA,PVMATH,PVREAD,PVSCIE
484,MEX,48400004,48402094,07MS,048400,MEX0007,4840000,1,4,6,2,6,16.00,6,2,6,16.00,76.49,250,200,250,,18.62,0.8052,10,6,-0.6853,-0.1151,0.5447,0.2169,-0.9263,0.3695,1.0044,0.3691,440.84,479.68,524.52
484,MEX,48400004,48402358,07MS,048400,MEX0007,4840000,1,3,2,2,2,9.00,2,2,2,9.00,44.14,250,150,150,2000,19.96,-1.0937,9,2,-0.5813,-0.3683,-0.1536,-0.6576,-0.3302,0.1067,0.5694,0.3334,383.43,350.04,388.02
484,MEX,48400004,48402393,07MS,048400,MEX0007,4840000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,387.40,445.74,445.45
484,MEX,48400004,48402505,07MS,048400,MEX0007,4840000,1,1,6,6,6,16.00,6,6,6,16.00,81.05,250,200,250,2250,27.55,1.0662,7,7,-0.4903,2.2208,1.2943,1.0346,-1.6579,0.8360,-0.6254,-0.5162,419.40,428.67,427.28
484,MEX,48400004,48402720,07MS,048400,MEX0007,4840000,1,2,6,6,6,16.00,6,6,6,16.00,65.01,250,200,200,1400,24.22,-0.1344,11,10,-0.6947,-1.6618,-1.4171,-0.6576,-0.6200,-0.5786,-0.6500,0.9078,374.62,351.49,365.35
484,MEX,48400004,48403324,07MS,048400,MEX0007,4840000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,482.20,475.91,450.81
484,MEX,48400004,48403369,07MS,048400,MEX0007,4840000,1,2,6,6,6,16.00,6,6,6,16.00,68.70,250,250,200,1950,16.30,0.8410,11,10,-0.4903,0.6347,0.3330,1.0346,0.7904,0.5437,1.8425,0.3334,466.79,471.98,450.93
484,MEX,48400004,48403411,07MS,048400,MEX0007,4840000,1,,,,,,,,,,,,,,,29.94,,8,4,,,,,,,-0.5743,-1.5287,483.15,510.86,504.32
484,MEX,48400004,48403606,07MS,048400,MEX0007,4840000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,485.92,531.47,503.81
484,MEX,48400004,48403647,07MS,048400,MEX0007,4840000,1,1,2,1,2,9.00,2,1,2,9.00,22.57,250,200,250,1450,19.11,-1.4260,10,10,-0.1357,0.4017,-0.1120,-0.6439,-0.3335,0.4572,0.1306,-1.0299,500.05,519.32,490.92
484,MEX,48400004,48403858,07MS,048400,MEX0007,4840000,1,2,6,4,6,16.00,6,4,6,16.00,76.49,250,150,250,2000,,0.7729,11,10,0.0477,0.0371,0.0595,1.0346,-0.5068,-1.4537,-0.6487,-0.4648,462.60,492.63,465.81
484,MEX,48400004,48404318,07MS,048400,MEX0007,4840000,1,3,2,6,6,16.00,2,6,6,16.00,76.49,250,250,250,1500,,1.0671,,,1.1793,0.2114,0.3330,-1.1847,0.5102,0.4572,,,419.31,513.08,504.87
484,MEX,48400004,48404662,07MS,048400,MEX0007,4840000,1,2,6,2,6,16.00,6,2,6,16.00,44.14,250,200,250,850,17.63,0.0827,11,8,-0.4903,0.0616,0.2111,0.2127,1.4931,1.1853,0.4843,-1.0299,474.12,477.29,457.69
484,MEX,48400004,48404824,07MS,048400,MEX0007,4840000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,398.01,405.22,406.47
